rpt_rec_num,provider_number,year,util_cd,fy_bgn_dt,fy_end_dt,beds,mcare_discharges,medicaid_discharges,tot_charges,tot_discharges,tot_discounts,tot_mcare_payment,ip_charges,icu_charges,ancillary_charges,hrrp_payment,vbp_payment,discount_factor,price,net_penalty,any_penalty
522203,110229,2011,F,07/01/2010,2011-06-30,30.0,28142.0,2439.0,377234604.0,52195.0,266098357.0,17598913.0,85294626.0,1021982.0,,-16.0,139.0,0.2946077741054741,325.5573421699897,123.0,0
11126,110229,2012,F,07/01/2011,2012-06-30,30.0,23285.0,2250.0,428438148.0,49776.0,314207435.0,17358713.0,92853550.0,2160283.0,,204066.0,-11012.0,0.26662124634149054,301.00764690431635,193054.0,0
524967,110229,2013,F,07/01/2012,2013-06-30,30.0,26526.0,2639.0,510590843.0,49640.0,367087370.0,20129843.0,112643987.0,3086467.0,115730454.0,481045.0,88624.0,0.28105375364124974,1943.5456439652144,569669.0,0
545874,110229,2014,F,07/01/2013,2014-06-30,30.0,31568.0,2942.0,602187424.0,49640.0,425860064.0,21055755.0,118264456.0,2732631.0,120997087.0,57202.0,-56579.0,0.2928114287554434,2755.8048273258837,623.0,0
567433,110229,2015,F,07/01/2014,2015-06-30,30.0,33770.0,2715.0,723341801.0,49640.0,517429373.0,22961022.0,136544848.0,3698088.0,140242936.0,-453896.0,80770.0,0.28466822699217964,3584.397849943002,-373126.0,1
590038,110229,2016,F,07/01/2015,2016-06-30,30.0,35029.0,2434.0,879856552.0,49776.0,639658820.0,25057418.0,146800995.0,3154401.0,149955396.0,-231062.0,10372.0,0.27299646908806563,3852.795094419562,-220690.0,1
636092,110229,2017,F,07/01/2016,2017-06-30,30.0,39396.0,2564.0,985676420.0,49640.0,764882062.0,27594898.0,156721778.0,2388643.0,159110421.0,-107208.0,280777.0,0.2240028811889403,4264.690302847574,173569.0,0
639617,110229,2018,F,07/01/2017,2018-06-30,30.0,42953.0,2669.0,1115763324.0,49640.0,896934992.0,28423175.0,171113326.0,2203179.0,173316505.0,-443838.0,-79135.0,0.19612432788658318,5915.95500367179,-522973.0,1
685485,110229,2019,F,07/01/2018,2019-06-30,30.0,45300.0,3077.0,1300497327.0,54750.0,1050308160.0,29239932.0,184049490.0,2613673.0,186663163.0,4711.0,211240.0,0.19237960878946125,4505.866724517129,215951.0,0
266275,110230,2009,F,01/01/2009,2009-12-31,96.0,5521.0,1132.0,172622992.0,40150.0,95723745.0,9039595.0,,,,,,0.44547511376700044,-261.04117935834125,0.0,0
267142,110230,2010,F,01/01/2010,2010-12-31,96.0,5645.0,544.0,220536518.0,43070.0,122564317.0,9536013.0,,,,,,0.4442447984963651,-254.8032865731463,0.0,0
539696,110230,2011,F,01/01/2011,2011-12-31,30.0,21873.0,1019.0,242818240.0,43070.0,144347041.0,10630343.0,84205691.0,2965012.0,87170703.0,97005.0,11680.0,0.40553460481387227,2833.9449065860667,108685.0,0
514007,110230,2012,F,01/01/2012,2012-08-31,30.0,16005.0,374.0,174493866.0,28792.0,106782240.0,7758150.0,59915567.0,2320312.0,,-236589.0,181.0,0.38804588122312567,1281.9446711700025,-236408.0,1
